pdf_name,item_id,original_description,quantity,unit,technical_specifications
0c2f9fc842a866ee.pdf,S600100040138,"MANTENIMIENTO CORRECTIVO DE
CANALETAS Y COBERTURA DE TECHOS",1.0,M,
0cca4ed1c20922e1.pdf,,SEMÁFORO LED DE TRÁFICO 1 X 12 in DE POLICARBONATO,1.0,M,
0cca4ed1c20922e1.pdf,,in DE POLICARBONATO,45.0,u,diámetro: nominal de 300 mm
0cca4ed1c20922e1.pdf,,"SEMÁFORO LED DE TRÁFICO 1 X 12 in DE
POLICARBONATO
 Nombre comercial: Óptico para semáforo ciclista.
 Año de fabricación: Mínimo 2022
 Emitirá 02 señales: Rojo Estático y Verde Dinámico.
 Diámetro",1.0,M,diámetro: nominal de la unidad óptica 300 mm
